sample,location,state,county,fips,latitude,longitude,sex
FL09702,"Osceola County, FL",FL,osceola,12097,28.102,-81.0755,male
FL09708,"Osceola County, FL",FL,osceola,12097,28.102,-81.0755,male
FL09710,"Osceola County, FL",FL,osceola,12097,28.102,-81.0755,male
FL09711,"Osceola County, FL",FL,osceola,12097,28.102,-81.0755,female
FL09712,"Osceola County, FL",FL,osceola,12097,28.102,-81.0755,female
FL09715,"Osceola County, FL",FL,osceola,12097,28.102,-81.0755,female
LA07902,"Rapides County, LA",LA,rapides,22079,31.1461,-92.5396,male
LA07904,"Rapides County, LA",LA,rapides,22079,31.1461,-92.5396,male
LA07907,"Rapides County, LA",LA,rapides,22079,31.1461,-92.5396,male
LA07910,"Rapides County, LA",LA,rapides,22079,31.1461,-92.5396,female
LA07911,"Rapides County, LA",LA,rapides,22079,31.1461,-92.5396,female
LA07914,"Rapides County, LA",LA,rapides,22079,31.1461,-92.5396,female
RI00906,"Washington County, RI",RI,washington,44009,41.4568,-71.6673,male
RI00907,"Washington County, RI",RI,washington,44009,41.4568,-71.6673,male
RI00909,"Washington County, RI",RI,washington,44009,41.4568,-71.6673,male
RI00911,"Washington County, RI",RI,washington,44009,41.4568,-71.6673,female
RI00916,"Washington County, RI",RI,washington,44009,41.4568,-71.6673,female
RI00926,"Washington County, RI",RI,washington,44009,41.4568,-71.6673,female
SC00303,"Aiken County, SC",SC,aiken,45003,33.2464,-81.6679,male
SC00304,"Aiken County, SC",SC,aiken,45003,33.2464,-81.6679,male
SC00306,"Aiken County, SC",SC,aiken,45003,33.2464,-81.6679,female
SC00308,"Aiken County, SC",SC,aiken,45003,33.2464,-81.6679,male
SC00314,"Aiken County, SC",SC,aiken,45003,33.2464,-81.6679,female
SC00315,"Aiken County, SC",SC,aiken,45003,33.2464,-81.6679,female
WI08103,"Monroe County, WI",WI,monroe,55081,44.0127,-90.6884,male
WI08104,"Monroe County, WI",WI,monroe,55081,44.0127,-90.6884,female
WI08105,"Monroe County, WI",WI,monroe,55081,44.0127,-90.6884,female
WI08106,"Monroe County, WI",WI,monroe,55081,44.0127,-90.6884,female
WI08110,"Monroe County, WI",WI,monroe,55081,44.0127,-90.6884,male
WI08111,"Monroe County, WI",WI,monroe,55081,44.0127,-90.6884,male